Strain,Genus,Species,Plating_Media,Source,Source_Notes,Phenotype,Available_Sequence,Other_Notes
SE50384,Arthrospira ,platensis,BG-11,NIES lab in Japan,NA,Multicellular filamentous cyanobacterium. Each unbranched cylindrical filament of cells is called a trichome and is approximately 5 µm in diameter. Filaments are unbranched coiled solitary and free floating but can form mats. Photoautotrophic and have a resistance to high salt concentrations. Conditions for optimal growth is a temperature range of 30-34 degrees Celsius and a pH range of 8.5-11. The maximum growth of the species is achieved on the fourth or fifth day of cultivation. ,NA,submitted
SE50389,Tetraselmis,sp,30AS1-307-T 1% agar,UTEX B 2563,isolated by RW Butcher (1959) in rock pool of Cresswell Northumberland England,Saltwater unicellular algae that is ~10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell. 42AS1-306-B culture is predominantly motile.,ITS1-ITS2,submitted
SE50396,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP882,Isolated by Butcher in River Blackwater Essex England. Brackish and temperate. Known temperature range 11-22 degrees Celsius.,Unicellular algae that is 10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50397,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP898,Isolated by Norris (1968) in Partridge Point Whidbey Island Washington. Robust and temperate. Known temperature range 11-22 degrees Celsius.,Unicellular algae that is 10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50398,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP904,Isolated by Butcher (1959) North Atlantic Bembridge Isle of Wight England. Robust and temperate. Known temperature range 4-26 degrees Celsius.,Unicellular algae that is 12-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50402,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP887,Isolated by Provasoli (1965) from a Convoluta worm. Marine robust and warm water. Known temperature range 22-26 degrees Celsius.,Unicellular algae that is 8-10 μm in length. Cells are nearly rounded ellipsoidal to spherical. Flagellated at one end of the cell. 42AS1-306-B culture is predominantly sessile.,ITS1-ITS2,submitted
SE50406,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP883,Isolated by Butcher (1960) in North Sea Yorkshire England. Robust and temperate. Known temperature range 11-16 degrees Celsius.,Unicellular algae that is 14-25 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell. 42AS1-306-B culture is predominantly sessile.,ITS1-ITS2,submitted
SE50408,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP888,Marine robust and temperate. Known temperature range 11-16 degrees Celsius.,Unicellular algae that is 14-16 μm in length. Cells are nearly rounded ellipsoidal. Pronounced flagella at one end of the cell. 42AS1-306-B culture is predominantly motile.,ITS1-ITS2,submitted
SE50410,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP896,Isoalted by Guillard in North Atlantic Falmouth Great Pond Falmouth Massachusetts. Robust and temperate. Known temperature range 3-20 degrees Celsius.,Unicellular algae that is 10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50411,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP900,Isolated by Li Ming-Ren in Yellow Sea Qingdao China. Temperate. Known temperature range 11-16 degrees Celsius.,Unicellular algae that is 10-12 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell. 42AS1-306-B culture is predominantly sessile cells.,ITS1-ITS2,submitted
SE50412,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP1640,Isolated by Lewis. Marine. Known temperature range 18-22 degrees Celsius.,Unicellular algae that is 12-14 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell. 42AS1-306-B media culture is mostly sessile cells.,ITS1-ITS2,submitted
SE50413,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP963,Isoalted by Lewis (1985) in channel between lagoon and open sea MataivaTahiti Society Islands. Warm water. Known temperature range 22-26 degrees Celsius.,Unicellular algae that is 10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50414,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP964,Isolated by Lewis (1985) in channel between lagoon and open sea MataivaTahiti Society Islands. Warm water. Known temperature range 22-26 degrees Celsius.,Unicellular algae that is 10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50416,Tetraselmis,marina,MASM 16,CCAP 849/5,Isolated by Lubian (pre 1977) in Cadiz Bay Cadiz Spain. Authority of Fawley Jameson and Fawley (2015). Used in aquaculture.,NA,ITS1-ITS2,Early question if original was unialgal. This was isolated from a single colony. Strain of interest for salt water projects.
SE50418,Tetraselmis,sp,30AS1-307-T 1% agar,Palenick Lab at UCSD ,Greenbloom 1,Marine unicellular algae that is ~10-12 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell. Obtained for Palenick Lab as isolate Greenbloom 1. Known temperature range of 22-26 degrees Celsius.  In 42AS1-306-B culture is predominantly sessile cells.,ITS1-ITS2,Submitted. Appears to have intergenomic variation in the ITS region (akin to SE50416).
SE50424,Nannochloropsis ,granulata,MASM 16,CCAP 849/10,Isolated by Sandnes (2004) in operational hatchery western Norway. Authority of Suda and Miyashita (2002).,NA,NA,NA
SE50425,Nannochloropsis ,gaditana,MASM 16,CCAP 849/2,Isolated by Droop (1965) in rock pool Skate Point Isle of Cumbrae Scotland. Authority of (Hibberd) Fawley Jameson and Fawley (2015).,NA,NA,NA
SE50426,Nannochloropsis ,sp,MASM 16,CCAP 849/3,Isolated by Droop (1965) in rock pool Skate Point Isle of Cumbrae Scotland. Authority of (Hibberd) Fawley Jameson and Fawley (2015).,NA,NA,NA
SE50429,Nannochloropsis ,sp,MASM 16,Palenick Lab at UCSD ,NA,NA,NA,Early question if original was unialgal. This was isolated from a single colony.
SE50432,Nannochloropsis ,sp,MASM 16,RCC 438,Isolated by Guillou L with filtration <3 μm in Blanes Spanish coast of Balearic Sea. Coccoid non-motile.,NA,NA,NA
SE50435,Nannochloropsis ,salina,MASM 16,RCC 504,isolated by Guillou L with serial dilution in Blanes Spanish coast of Balearic Sea,NA,NA,NA
SE50436,Nannochloropsis ,sp,MASM 16,RCC 562,Isolated by Guillou L with filtration <0.8 μm in Blanes Spanish coast of Balearic Sea. Ovid.,NA,NA,NA
SE60006,Desmodesmus,sp,greenhouse standard,environmental prospecting,NA,ellipsoid cell green alga that is free floating,18S-5.8S-28S,could be Scenedesmus sp
SE60009,Desmodesmus,cuneatus,greenhouse standard,environmental prospecting,Pond 3 wastewater treatment plant Las Cruces on the West Mesa Pond at Skeen Hall NMSU,freshwater ellipsoid cell green alga that is free floating,18S-5.8S-28S,could be Scenedesmus armatus
SE60239,Desmodesmus,armatus,greenhouse standard,environmental prospecting,Pond 3 wastewater treatment plant Las Cruces on the West Mesa Pond at Skeen Hall NMSU,freshwater ellipsoid cell green alga that is free floating,18S-5.8S-28S,NA
SE60373,Nannochloropsis,salina,MASM 16,NA,Isolated by IABR,NA,ITS1-ITS2,NA
SE60445,Nannochloropsis,salina,MASM 16,NA,Isolated by IABR,NA,ITS1-ITS2,NA
SE60446,Nannochloropsis,salina,MASM 16,NA,Isolated by IABR,NA,ITS1-ITS2,NA
SE60499,Chlamydomonas ,moewusii,IABR-10,minipond competition experiment,NA,Unicellular green alga about 10 uM in diameter that swims with two flagella. Usually spherical and contains a singular chloroplast and prominent eyespot.,18S-5.8S-28S,submitted
SE60538,Desmodesmus,multivariabilis,greenhouse standard,environmental prospecting,NA,Freshwater green alga 2-20 µm in length. Ellipsoid cell that is free floating.,18S-5.8S-28S,NA
SE60653,Desmodesmus,sp,IABR-10,minipond competition experiment,NA,Freshwater green alga 2-20 µm in length. Ellipsoid cell that is free floating.,18S-5.8S-28S,submitted
SE60992,Chlamydomonas,mexicana,IABR-10,pond invader,NA,NA,ITS1-ITS2,NA
SE60994,Scenedemaceae,sp,IABR-10,pond invader,NA,NA,ITS1-ITS2,NA
SE60995,Scenedemaceae,sp,IABR-10,pond invader,NA,NA,ITS1-ITS2,NA
SE61251,Coelastrum ,astroideum,greenhouse standard,experimental pond,isolated in LCTS gravity pond P17,green alga 2-10 µm in length,18S-5.8S-28S,self-inoculating at LCTS
SE61253,Coelastrum,astroideum,IABR-10 pH9.5,environmental prospecting,wastewater,green alga 2-10 µm in length,18S-5.8S-28S,submitted
SE61254,Coelastrum ,astroideum,IABR-10,minipond competition experiment,NA,green alga 2-10 µm in length,18S-5.8S-28S,submitted
SE61257,Scenedesmus ,armatus,IABR-10,minipond competition experiment,NA,green alga 2-10 µm in length,18S-5.8S-28S,submitted
SE61259,Scenedesmus ,incrassatulus,IABR-10,minipond competition experiment,NA,NA,18S-5.8S-28S,submitted
SE61263,Desmodesmus,sp,IABR-10 pH9.5,minipond competition experiment,NA,NA,18S-5.8S-28S,submitted
SE61265,Desmodesmus,sp,IABR-10 pH9.5,environmental prospecting,NA,freshwater ellipsoid cell green alga that is free floating,18S-5.8S-28S,submitted
SE61266,Desmodesmus,sp,IABR-10 pH9.5,environmental prospecting,NA,NA,18S-5.8S-28S,submitted
SE61267,Scenedesmus ,armatus,IABR-10,minipond competition experiment,NA,freshwater ellipsoid cell green alga that is free floating,18S-5.8S-28S,submitted
SE61268,Monoraphidium ,contortum,IABR-10,NA,newly isolated pest from one of the self-inoculated pond,NA,18S-5.8S-28S,NA
SE61269,Scenedesmus ,sp,NA,minipond competition experiment,NA,NA,18S-5.8S-28S,submitted
SE61270,Desmodesmus ,sp,IABR-10,minipond competition experiment,NA,NA,ITS1-ITS2,submitted
SE61271,Scenedesmus ,regularis,NA,environmental prospecting,NA,NA,ITS1-ITS2,NA
SE61272,Scenedesmus,pectinatus,IABR-10,experimental pond,NA,NA,ITS1-ITS2,weed strain that needs additional evaluation
SE61278,Scenedesmus,obliquus,IABR-10,NA,isolated from Exp_120310_0005 using raffinate fed ponds in lCTS as bioprospecting traps from Mar 15 2013-Jun 20 2013 with a raffinate level resulting in 150 ppm,NA,NA,Submitted. Raffinate tolerances.
SE61280,Coelastrum,astroideum,IABR-10,experimental pond,IABR weed,NA,ITS1-ITS2,NA
SE61281,Coelastrum,astroideum,IABR-10,experimental pond,IABR weed,NA,ITS1-ITS2,NA
SE61282,Coelastrum,astroideum,IABR-10,experimental pond,IABR weed,NA,ITS1-ITS2,NA
SE61289,Chlorella ,sp,IABR-10,NA,NA,NA,ITS1-ITS2,total protein >50% and grows well in 50% fracking water
SE61300,Ankistrodesmus,sp,IABR-10,NA,NA,NA,ITS1-ITS2,total protein >50% 
SE61328,Chlorella ,sp,IABR-10,NA,NA,NA,ITS1-ITS2,NA
SE61330,Chlorella ,sp,IABR-10,NA,NA,NA,ITS1-ITS2,NA
SE61333,Scenedesmus,sp,IABR-10,NA,NA,NA,ITS1-ITS2,NA
SE61335,Scenedesmus,dimorphus,TAP,NA,NA,NA,ITS1-ITS2,NA
SE61336,Chlorella,sorokiniana,NA,NA,NA,NA,NA,weed strain isolated from Columbus (10/2015)
